,stop_name,stop_lon,stop_lat
0,Abbesses (METRO 12),2.3379497756920697,48.88459420710706
1,Ablon (RER C),2.4195650243879325,48.7255353039401
2,Achères Grand Cormier (RER A),2.093521901580612,48.95540224361052
3,Achères Ville (RER A TRAIN L),2.077731764565598,48.97066504740207
4,Adrienne Bolland (TRAM 3b),2.4086200551769896,48.87209702901093
5,Aimé Césaire (METRO 12),2.377741481106109,48.90808243689956
6,Alcide d'Orbigny (TRAM 5),2.363302264997833,48.96562485708989
7,Alexandra David-Néel / Porte de Saint-Mandé (TRAM 3a),2.4101095555973178,48.84370073907134
8,Alexandre Dumas (METRO 2),2.394675654792046,48.85622809033533
9,Allée Royale (TRAM 13),2.078833468689223,48.81564572800231
10,Allée de la Tour-Rendez-vous (TRAM 4),2.506408247006797,48.89714381846158
11,Alma - Marceau (METRO 9),2.3009910034955845,48.86476684405098
12,Alésia (METRO 4),2.3271646496078238,48.828188475392636
13,Anatole France (METRO 3),2.2850095013824143,48.89208278504593
14,Andrésy (TRAIN J),2.0486730603847483,48.97459610190932
15,Angerville (GL),2.0035250000979894,48.311296273829875
16,Angélique Compoint - Porte de Montmartre (TRAM 3b),2.338230427133584,48.89783032537774
17,Antony (ORLYVAL RER B),2.3009868557349513,48.75494652461008
18,Anvers (METRO 2),2.3446670737483,48.88297276690652
19,Arboretum (TRAM 4),2.5617143040426065,48.89792357203605
20,Arcueil - Cachan (RER B),2.328136923064751,48.79889249915973
21,Argenteuil (TRAIN J),2.2578974840274197,48.9467969411594
22,Argentine (METRO 1),2.2901275088247006,48.87533684119576
23,Arpajon (RER C),2.2410700809029738,48.58600788987864
24,Arts et Métiers (METRO 11 METRO 3),2.356733312984347,48.86545459416773
25,Asnières - Gennevilliers Les Courtilles (TRAM 1 METRO 13),2.2839485027996598,48.9304856073405
26,Asnières-sur-Seine (TRAIN J TRAIN L),2.2831101831611704,48.90589990185368
27,Assemblée Nationale / Lille - Université (METRO 12),2.3209981919540845,48.86078696260591
28,Athis-Mons (RER C),2.4036331049084922,48.71262898655513
29,Auber (RER A),2.329927170608276,48.8721574939563
30,Aubergenville Élisabethville (TRAIN J),1.8483488082825013,48.97214167598727
31,Aubervilliers Pantin Quatre Chemins (METRO 7),2.3922212225351167,48.90378388013124
32,Auguste Delaune (TRAM 1),2.4605234036744186,48.90670062988022
33,Auguste Perret / Cimetière Parisien de Thiais (TRAM 7),2.3677905357348097,48.76337515206145
34,Aulnay-sous-Bois (RER B TRAM 4 TRAIN K),2.496047600213122,48.93211703184306
35,Auneau (GL),1.7795837097232066,48.445253703679896
36,Auvers-sur-Oise (TRAIN H),2.1753042099461597,49.0704623625224
37,Avenue Foch (RER C),2.2748081536422333,48.86983048807552
38,Avenue Henri Martin (RER C),2.2721593819194146,48.86546235616314
39,Avenue de France (TRAM 3a),2.3811655878010223,48.82557023397762
40,Avenue du Président Kennedy Maison de Radio France (RER C),2.279487064962566,48.85364805624812
41,Avenue Émile Zola (METRO 10),2.2950191304763625,48.84699703041569
42,Aéroport CDG - Terminal 2 (TGV) (RER B CDGVAL),2.5709421649802278,49.004706542230295
43,Aéroport CDG 1 (Terminal 3) (RER B CDGVAL),2.5608957695634915,49.00987915822429
44,Aéroport Orly 1-2-3 (Terminal Ouest) (ORLYVAL),2.360013412858125,48.72964735492885
45,Aéroport Orly 4 (Terminal Sud) (ORLYVAL TRAM 7),2.3690886780648572,48.729287352981686
46,Bagneaux-sur-Loing (TRAIN R),2.7039360529619154,48.22954993653397
47,Bagneux (RER B),2.322201633670121,48.79333629531526
48,Bagneux - Lucie Aubrac (METRO 4),2.3173602968975313,48.80348971800446
49,Bailly (TRAM 13),2.0744435747033823,48.837052611124356
50,Balard (TRAM 3a METRO 8),2.2782247190885085,48.836209139946725
51,Ballancourt (RER D),2.3705184977367075,48.53150198556537
52,Barbara (METRO 4),2.3174491879233723,48.80970399661239
53,Barbès Rochechouart (METRO 2 METRO 4),2.3501439159537623,48.883611014543106
54,Baron Leroy (TRAM 3a),2.3934496983063673,48.83038858967195
55,Basilique de Saint-Denis (TRAM 1 METRO 13),2.360079394320156,48.937417059597266
56,Bastille (METRO 5 METRO 8 METRO 1),2.368974908391495,48.85296180587604
57,Baudelaire (TRAM 5),2.356729741525478,48.94212545418621
58,Beauvais (GL),2.0885069725465346,49.426201591363856
59,Beethoven - Concorde (TRAM 9),2.381510971736228,48.798822652048656
60,Bel-Air (METRO 6),2.4009185367798023,48.84133824821127
61,Belleville (METRO 11 METRO 2),2.376662202899331,48.87206595087385
62,Bellevue (TRAIN N),2.2298080037295143,48.818947800016836
63,Belloy - Saint-Martin (TRAIN H),2.361270555241057,49.09840026155663
64,Belvédère (TRAM 2),2.225959095144879,48.87600129058073
65,Bessancourt (TRAIN H),2.21024652105706,49.035311307600814
66,Beynes (TRAIN N),1.8755955903020676,48.859998729517955
67,Bibliothèque François Mitterrand Emile Durkheim (METRO 14 RER C),2.3771816107974386,48.829393654398835
68,Billancourt (METRO 9),2.2374367869806067,48.8317379634496
69,Bir-Hakeim (METRO 6),2.289334532778807,48.85394260529295
70,Bièvres (RER C),2.21586085735165,48.75102327419874
71,Blanche (METRO 2),2.333379672422159,48.88355628924793
72,Blumenthal (TRAM 8),2.339180923415564,48.94780764867852
73,Bobigny - Pantin - Raymond Queneau (METRO 5),2.4253268901662555,48.89545467213198
74,Bobigny Pablo Picasso (METRO 5 TRAM 1),2.4495980353963533,48.906455388947535
75,Boigneville (RER D),2.3788154433118907,48.341663543697
