,stop_name,stop_lon,stop_lat
0,Courcelle-sur-Yvette,2.097722386795541,48.70131367727702
1,La Ferté-sous-Jouarre,3.124704606439104,48.95078183142266
2,Verneuil-l'Étang,2.825083962015835,48.64438940351837
3,Les Baconnets,2.288108127151424,48.73984612871272
4,Saint-Ouen-l'Aumône Quartier de l'Église,2.1034691329132857,49.03909361746138
5,Achères Ville,2.0777265246565437,48.97064357081442
6,Clamart,2.274243860950152,48.81422563914296
7,Pantin,2.4010414542870944,48.897987452300434
8,Bellevue,2.229956322216565,48.81887298138509
9,L'Étang-la-Ville,2.076893601882248,48.86818814962987
10,Aulnay-sous-Bois,2.495597257086315,48.932150935734064
11,Saint-Leu-la-Forêt,2.2428869689226687,49.01523840177278
12,Lizy-sur-Ourcq,3.0317831029512066,49.02172710081919
13,Cergy Saint-Christophe,2.0345219282999176,49.049642166828754
14,Saint-Fargeau,2.5426100742385285,48.56502608446919
15,Lagny - Thorigny,2.7059554888008988,48.8821904179895
16,Deuil - Montmagny,2.338131209772398,48.97592570310552
17,La Croix de Berny,2.3042107053612133,48.76171816323692
18,Mouroux,3.0430626039871616,48.813701725231546
19,Faremoutiers - Pommeuse,2.9932738165708552,48.80853544410162
20,Champigny-sur-Yonne,3.130154840410363,48.32421062271411
21,Vaires - Torcy,2.637705554664271,48.87517306494243
22,Haussmann Saint-Lazare,2.328646179742093,48.87499886200119
23,Pont de l'Alma,2.3003592740110994,48.86247496310803
24,Saint-Michel Notre-Dame,2.344959780029387,48.85302379374016
25,Mitry - Claye,2.6422341369736606,48.9757479508066
26,Sèvres - Ville-d'Avray,2.2007294495659546,48.827253206930806
27,Orangis Bois de l'Épine,2.40769076622141,48.6363396147683
28,La Celle-Saint-Cloud,2.138236726142033,48.84262523059504
29,Les Boullereaux Champigny,2.511990843607618,48.82486398816196
30,Épinay-sur-Orge,2.332043500451718,48.6693475106473
31,La Hacquinière,2.1516106103390045,48.69529954845245
32,Viroflay Rive Droite,2.1676545647835206,48.805472581494975
33,Le Bras de Fer,2.4520047548737254,48.62330639719716
34,Cernay,2.257017857907824,48.985149200200375
35,Crépy-en-Valois,2.8880999806451184,49.23108254935135
36,La Varenne - Chennevières,2.5132322873015256,48.79532749459459
37,Breuillet - Bruyères-le-Châtel,2.1922487394356454,48.57760979436327
38,Vaucresson,2.152674671677768,48.83668449024941
39,Vosves,2.5994097381795305,48.51507609100275
40,Sermaise,2.069088468619773,48.535687624993614
41,Coulommiers,3.081261311573344,48.80805936234078
42,Pont de Rungis Aéroport d'Orly,2.373209854795934,48.74834625868034
43,Provins,3.302334202203228,48.55553092379296
44,Noisy-le-Sec,2.45919809568668,48.8966634168645
45,Nation,2.3959444654495297,48.84823319072756
46,Châteaudun,1.3384330021828876,48.073492940832686
47,Villiers - Neauphle - Pontchartrain,1.877535784941356,48.81532337552301
48,Le Parc de Saint-Maur,2.486623744135692,48.8054097518155
49,La Défense,2.238418596250407,48.892229801568206
50,Boissy-Saint-Léger,2.504498176690716,48.752267307821874
51,Fontaine-le-Port,2.750465255041539,48.48734840615557
52,Boran-sur-Oise,2.362237794019318,49.16664871633883
53,Trilport,2.949685912410061,48.96016915361593
54,Poissy,2.040804469960689,48.93324983956547
55,Ris-Orangis,2.414997460834355,48.659057463386254
56,Le Perray,1.8566531860615936,48.69336112490438
57,Cergy le Haut,2.011579068023536,49.04823262405815
58,Épinay-sur-Seine,2.302388375122374,48.95382604164122
59,Auber,2.3296591495793595,48.8723488407182
60,Évry - Val de Seine,2.4523091616356028,48.63439299320402
61,Palaiseau,2.24558429554376,48.71686524330362
62,Nanterre Université,2.213536495127317,48.90112974604822
63,Boissise-le-Roi,2.57179291425262,48.52985734002498
64,Vaux-sur-Seine,1.9630264473162569,49.0073550143858
65,Chartres,1.4805376543356368,48.44815728195019
66,Sèvres Rive Gauche,2.215079572125279,48.82121360785643
67,La Borne Blanche,2.5069908684194053,49.1261949449139
68,Suresnes Mont Valérien,2.2210567895582143,48.87168952202666
69,Nanterre Préfecture,2.222986242991368,48.895886773064674
70,Héricy,2.760750768911634,48.44272124429534
71,Lognes,2.633026934567703,48.839255049438655
72,Saint-Martin d'Étampes,2.145258831307165,48.42748765080825
73,Drancy,2.454883180745302,48.932732553959134
74,Charles de Gaulle - Etoile,2.295231447641207,48.874172759565376
75,Igny,2.230807643224045,48.74084886110891
76,Luxembourg,2.3398088878203698,48.84543177842458
77,Mantes-la-Jolie,1.703836824856348,48.98929502141949
78,Palaiseau - Villebon,2.237329249708309,48.7081489333421
79,Bruyères-sur-Oise,2.32483287423228,49.15511620671838
80,Juvisy,2.383334629403869,48.68970940912314
81,Issou - Porcheville,1.7838404356830648,48.9793069192499
82,Péreire Levallois,2.2992286819828145,48.88602700780433
83,Chaville Rive Droite,2.1885894806735937,48.81299614830529
84,Frépillon,2.197098920791642,49.04527720662213
85,Neuville Université,2.078348820578231,49.01374275942672
86,Le Plessis Chenet,2.479522291008497,48.57358727886637
87,Cormeilles-en-Parisis,2.1930511780913897,48.9686435877584
88,Les Noues,2.477713962139221,49.03307204384692
89,Saint-Quentin en Yvelines - Montigny-le-Bretonneux,2.044615988930814,48.78748491597792
90,Champbenoist Poigny,3.2866300417033125,48.54520762505785
91,Cergy Préfecture,2.0797809490013077,49.036306683133965
92,Trie-Château,1.818497020989674,49.2824007109848
93,La Courneuve - Aubervilliers,2.3861140570949475,48.92429743203911
94,Pont Cardinet,2.312950431098551,48.88839532721545
95,Plaisir - Grignon,1.943537514733802,48.831926089228816
